Date,Description,Debit,Credit,Balance
05/03/2025,TIM HORTONS #4821 RICHMOND BC,4.75,,2100.00
05/05/2025,LOBLAWS #1052 RICHMOND BC,67.42,,2032.58
05/07/2025,NETFLIX.COM,14.99,,2017.59
05/10/2025,PETRO CANADA 00427 RICHMOND BC,52.30,,1965.29
05/15/2025,UBER EATS TORONTO ON,23.87,,1941.42
05/15/2025,DIRECT DEPOSIT PAYROLL,,2500.00,4441.42
05/18/2025,SPOTIFY AB,9.99,,4431.43
05/20/2025,AMAZON.CA AMZN.CA/BILL ON,38.14,,4393.29
05/22/2025,PRESTO AUTOLOAD TORONTO ON,3.50,,4389.79
05/25/2025,STARBUCKS #9234 RICHMOND BC,5.25,,4384.54
